Tarea	Usuario	Texto	Lang_Texto	Respuesta	Lang_Resp	Autor_respuesta	A_favor	En_contra
				They were drinking passionfruit juice		110	5	
							39	
							31	
				They were drinking maracuya juice		282		93
CorrEN	285	In my class we are reading a book	EN	In my class we are reading a book	EN	285	3	43
							96	
							282	
							93	
							110	
							46	
							39	
Corrn EN	285	In my class we are reading a book	EN	In my class we are reading a book	EN	285	39	282
				Adolf Hitler was evil.		93	110	11
							46	
							5	
				Adolf Hitler was very bad.		282		93
ej. en	285	¿Por qué yo?	ES	Why I?	EN	285	93	
							85	
							3	
				Why me?		91	3	
							110	
corr. en	285	My sister is sleeping in the bed	EN	My sister is sleeping in the bed	EN	285	282	278
							350	
							13	
							351	
							39	
							281	
							183	
							93	
							3	
							46	
				My sister is sleeping on the bed		278	8	354
							85	96
							352	
							275	
							57	
							43	
							353	
corr EN	285	The three of july is my happy birthday	EN	The three of july is my happy birthday	EN	285	139	44
								350
								280
								45
								57
				On 3rd July is my birthday		350	8	279
							43	355
							183	284
				The third of July is my birthday.		93	356	275
							54	
							282	
				The third of july is my birthday		44	39	93
							277	
							46	
							354	
							290	
				3rd July is my birthday		355	3	37
							281	
				My birthday is on July 3rd (third)		275	10	
				The 3rd of July is my happy birthday		279	13	
							278	
ejercicios. EN	285	Él se quedó en mi hogar por tres semanas.	EN	He stayed at my home for three weeks	EN	285	275	93
				He stayed at my house for three weeks.		93	27	
							85	
							3	
				He stayed In my home for three weeks.		54	277	275
							96	
				He stayed at my place for three weeks.		91		54
correcto. en	285	The apple is very delicious	EN	The apple is very delicious	EN	285	274	356
							350	93
							44	
							54	
							8	
							10	
							43	
							39	
				The apple is delicious		356	93	279
							275	355
							183	
							282	
							45	
				Apples are delicious		3	278	357
							281	
							290	
				Apple is delicious		355	13	284
							280	3
							358	37
							46	
	285	Play to league of legends in to computer nice?	EN	Play to league of legends in to computer nice?	EN	285		3
								274
								284
								359
								46
				Do you want to play League of Legends in my computer?		275	12	
							277	
Corr EN	285	The lemon is acid	EN	The lemon is acid	EN	285	8	93
							39	183
							3	45
							358	10
				The lemon is acidic.		282	96	284
							43	
							278	
							281	
							46	
				The lemon is acid.		350	54	356
							290	279
							13	280
				Lemons are sour.		93	44	350
							274	282
				The lemon is acidic.		280		37
Trad ES	285	I`m play to league of legends in my computer	EN	Estoy jugando a la liga de leyendas en mi computadora	ES	90	85	275
							8	
							3	
				Yo juego a liga de leyendas en mi computador		275	277	54
							357	
Ej. EN	285	Mi hermana es suscriptora de una revista de moda.	ES	My sister is subscriber of a fashion megazine	EN	285	3	93
								85
				My sister is subscriber of a fashion magazine.		91	27	
				My sister has a suscription on a fashion magazine		275	277	
							54	
				My sister has a subscription to a fashion magazine.		93	128	275
Corr EN	285	I live in molinos, bogota	EN	I live in molinos, bogota	EN	285	16	93
							54	278
							183	
							279	
							282	
							13	
							3	
							280	
				I live in Molinos, Bogota.		93	44	
							274	
							350	
							356	
							275	
							10	
							45	
							355	
							39	
							43	
							8	
							281	
							360	
							284	
Corr.EN	285	My sister is drawing the solar system	EN	My sister is drawing the solar system	EN	285	93	
							44	
							274	
							350	
							275	
							183	
							279	
							54	
							282	
							10	
							355	
							13	
							39	
							3	
							278	
							8	
							280	
							281	
							284	
Corr EN	285	My dog and my sister are playing with a tennis ball	EN	My dog and my sister are playing with a tennis ball	EN	285	274	278
							44	
							54	
							93	
							279	
							282	
							10	
							45	
							13	
							39	
							3	
							280	
							281	
							284	
Corr EN	285	I finished bathing whit cold water	EN	I finished bathing whit cold water	EN	285	277	64
							274	13
								9
								93
								183
				I finished bathing in cold water.		64	10	
							8	
							282	
				I just bathed in cold water.		93	54	279
							39	284
							3	
							280	
							281	
Corr EN	285	My dog is eating the chicken of my grandfather	EN	My dog is eating the chicken of my grandfather	EN	285	9	275
							277	10
							39	282
							278	13
								274
								279
				My dog is eating my grandfather’s chicken		275	93	284
							283	
							64	
							54	
							8	
							3	
							280	
							281	
Ej. EN	285	The boart not is in buy	EN	The boart not is in buy	EN	285	358	93
								54
								96
								3
								356
				The boat is not for sale.		93	361	275
							92	
				The ship is not for sale.		275	360	
							277	
							128	
Ej. EN	285	Mañana voy a estudiar en la biblioteca.	ES	Tomorrow i`ll go to study in the library	EN	285	358	356
								93
								277
				I am going to study in the library  tomorrow		356	54	
							93	
							277	
Corr EN	285	I`m tall compared to my family	EN	I`m tall compared to my family	EN	285	274	54
							281	45
							93	355
							275	3
							64	
							10	
							282	
							9	
							277	
							279	
							39	
				I'm tall in comparison to my family.		3	8	278
							280	
Corr. EN	285	My house is beautiful	EN	My house is beautiful	EN	285	274	
							93	
							281	
							283	
							275	
							64	
							10	
							282	
							13	
							9	
							277	
							183	
							279	
							54	
							45	
							43	
							355	
							39	
							3	
							278	
							8	
							280	
Corr EN	285	The dog is next to of the supermarket and in front of hospital	EN	The dog is next to of the supermarket and in front of hospital	EN	285	274	93
							3	283
								64
								10
								45
								43
								39
								278
				The dog is next to the supermarket and in front of the hospital.		93	281	54
							13	
							275	
							282	
							9	
							290	
							277	
							183	
							279	
							8	
							280	
Corr EN	285	I`m like eat very very hot	EN	I`m like eat very very hot	EN	285	274	275
							8	282
								277
								279
								54
								39
								278
								183
								280
				I like to eat very very hot meals		275	64	
							10	
							9	
							45	
							13	
							3	
Traduc EN	285	Mi Papa está en el hospital visitando a un primo accidentado	EN	My dad is in the hospital visiting a cousin who had an accident.	EN	93	92	
							27	
				My father is in the hospital visiting a rugged cousin		275	8	93
								3
				My Pope is in the hospital visiting a rugged cousin		90	54	275
								277
Ej,EN	285	Hay algunas tiendas al lado de mi casa.	ES	There are some shops next to of my house	EN	285	277	
							54	
							3	
				There are a few shops next to my house.		91	93	
							275	
Corr En	186	Does your house have a swimming pool?	EN	Does your house have a swimming pool?	EN	186	35	99
							27	
							4	
							165	
							158	
				Is there a swimming pool in your house?		99	39	52
							147	363
							157	
							362	
							167	
Corr EN	186	I'm a man who want to be healthy, when I was older but these days there's too much pollution.	EN	I'm a man who want to be healthy, when I was older but these days there's too much pollution.	EN	186	364	109
								52
								147
				I'm a man who wanted to be healthy when I was older, but these days there's too much pollution.		109	1	165
							39	167
								158
				I'm a man who wants to stay healthy when older, but there's too much pollution these days.		165	164	157
				I'm a man who wants to be healthy when I 'll be older, but these days there's too much pollution.		167	161	365
							124	
Corr. EN	186	I have too much homework, so I've got to studying later tonight.	EN	I have too much homework, so I've got to studying later tonight.	EN	186		109
								157
				I have too much homework, so I have to study later tonight.		109	1	
							39	
							165	
							52	
							158	
				I have too much homework, so I'll have to study later tonight.		167	164	
							147	
							161	
Corr EN	186	If she continues blowing her trumpet so close on his ears, he'll get deaf.	EN	If she continues blowing her trumpet so close on his ears, he'll get deaf.	EN	186		165
								161
				If she continues blowing her trumpet so close to his ears, he'll get deaf.		165	167	52
							164	
							366	
							39	
				If she continues blowing her trumpet so close to his ears, he'll become deaf.		52	147	
							157	
							124	
							158	
Trad. EN	186	Lo que el viento se llevó.	ES	Gone With the Wind.	EN	90	109	
							1	
							163	
							157	
							124	
							27	
Corr.EN	186	For breakfast I usually eat a lot of cereal and milk before go work at seven A.M  I don't like any greasy on that time	EN	For breakfast I usually eat a lot of cereal and milk before go work at seven A.M  I don't like any greasy on that time	EN	186		323
								164
				For breakfast, I usually eat a lot of cereal and milk before going to work at 7 a.m.  I don't like to eat any greasy food at that time.		96	113	167
							39	147
							324	
							273	
				For breakfast, I usually eat a lot of cereals with milk before I go to work at 7 a.m. I don't like to eat greasy food at that time.		147	161	52
							169	
							362	
							326	
				For breakfast, I usually eat a lot of cereal and milk before I go to work at 7 a.m.  I don't like eating any greasy food at that time.		167	124	
							172	
							158	
							367	
Corr EN	186	Do you know it has double meant?	EN	Do you know it has double meant?	EN	186		167
								39
								180
								273
								326
				Do you know this has a double meaning?		109	368	158
							147	
							369	
							324	
							124	
				Do you know if this has a double meaning?		158	284	370
							161	
							362	
							164	
				Do you know it has double means?		167	172	109
								52
								132
								169
Corr EN	186	I'm a little busy		I'm a little busy		186	109	
							368	
							147	
							158	
							369	
							39	
							284	
							167	
							370	
							161	
							52	
							172	
							132	
							180	
							324	
Corr EN	186	My dirty mind says it!!	EN	My dirty mind says it!!	EN	186	167	180
							109	
							368	
							158	
							39	
							284	
							370	
							161	
							52	
							172	
Corr EN	186	I don't know what to say	EN	I don't know what to say	EN	186	52	
							371	
							39	
							167	
							161	
							172	
							284	
							124	
							158	
							372	
							369	
							147	
Corr EN	186	Will you to help me ?	EN	Will you to help me ?	EN	186	158	113
								373
								167
								172
								147
								284
								374
								161
								150
								27
				Will you help me ?		113	52	
							163	
							39	
							177	
							35	
							375	
Corr EN	186	I want to live in Europe for learning french	EN	I want to live in Europe for learning french	EN	186	172	113
								373
								147
								374
								150
				I want to live in Europe to learn French.		113	52	284
							39	
							177	
							167	
							132	
							163	
				I'd like to live in Europe to learn French.		284	376	
							35	
							161	
							27	
							158	
